date,opponent,div_rank,gb,attendance,cLI,winning_percentage,year,total_games_played,weekday,month,night_game,pop_opp
"Monday, Jul 31",BOS,1,3.0,36993,1.23,0.581,2000,104,1,Jul,1,1
"Tuesday, Aug 1",BOS,1,3.0,37391,1.45,0.585,2000,105,1,Aug,1,1
"Wednesday, Aug 2",BOS,1,2.0,45121,1.31,0.579,2000,106,1,Aug,1,1
"Friday, Aug 11",CLE,1,7.0,45335,.67,0.595,2000,115,0,Aug,1,0
"Saturday, Aug 12",CLE,1,6.0,45356,.47,0.59,2000,116,0,Aug,0,0
"Sunday, Aug 13",CLE,1,6.0,45380,.71,0.585,2000,117,0,Aug,0,0
"Monday, Aug 14",DET,1,5.0,44941,.67,0.58,2000,118,1,Aug,1,0
"Tuesday, Aug 15",DET,1,4.0,38674,.82,0.575,2000,119,1,Aug,1,0
"Wednesday, Aug 16",DET,1,3.0,42429,1.04,0.57,2000,120,1,Aug,0,0
"Friday, Aug 25",CHW,1,1.5,44745,1.84,0.547,2000,127,0,Aug,1,0
"Saturday, Aug 26",CHW,1,2.5,45191,2.09,0.55,2000,128,0,Aug,1,0
"Sunday, Aug 27",CHW,1,2.5,45525,1.86,0.546,2000,129,0,Aug,0,0
"Monday, Aug 28",NYY,1,1.5,45077,2.06,0.542,2000,130,1,Aug,1,1
"Tuesday, Aug 29",NYY,1,2.5,44105,2.30,0.545,2000,131,1,Aug,1,1
"Wednesday, Aug 30",NYY,1,2.5,44962,2.09,0.541,2000,132,1,Aug,1,1
"Friday, Sep 8",MIN,1,2.0,32081,2.15,0.539,2000,140,0,Sep,1,0
"Saturday, Sep 9",MIN,1,2.0,43249,2.25,0.542,2000,141,0,Sep,1,0
"Sunday, Sep 10",MIN,1,2.0,39844,2.17,0.545,2000,142,0,Sep,0,0
"Monday, Sep 11",KCR,1,1.0,33366,2.12,0.542,2000,143,1,Sep,1,0
"Tuesday, Sep 12",KCR,1,1.0,36520,2.55,0.545,2000,144,1,Sep,1,0
"Wednesday, Sep 13",KCR,1,2.0,31385,2.56,0.548,2000,145,1,Sep,1,0
"Thursday, Sep 21",OAK,1,2.0,44786,1.56,0.562,2000,152,1,Sep,1,0
"Friday, Sep 22",OAK,1,1.0,45408,2.63,0.558,2000,153,0,Sep,1,0
"Saturday, Sep 23",OAK,1,0.0,45406,3.14,0.555,2000,154,0,Sep,1,0
"Sunday, Sep 24",OAK,1,1.0,45405,5.37,0.558,2000,155,0,Sep,0,0
"Tuesday, Sep 26",TEX,1,0.5,31399,2.62,0.561,2000,156,1,Sep,1,0
"Wednesday, Sep 27",TEX,1,0.5,35901,2.66,0.563,2000,157,1,Sep,1,0
"Thursday, Sep 28",TEX,1,0.5,43264,2.51,0.56,2000,158,1,Sep,0,0
"Monday, Apr 2",OAK,1,0.5,45911,1.20,1.0,2001,0,1,Apr,1,0
"Tuesday, Apr 3",OAK,1,0.0,27212,1.23,0.5,2001,1,1,Apr,1,0
"Wednesday, Apr 4",OAK,1,0.0,31382,1.21,0.667,2001,2,1,Apr,0,0
"Monday, Apr 16",TEX,1,3.5,45657,1.47,0.769,2001,12,1,Apr,1,0
"Tuesday, Apr 17",TEX,1,4.5,34536,1.43,0.786,2001,13,1,Apr,1,0
"Wednesday, Apr 18",TEX,1,3.5,48823,1.45,0.733,2001,14,1,Apr,1,0
"Thursday, Apr 19",ANA,1,4.5,25016,1.43,0.75,2001,15,1,Apr,1,1
"Friday, Apr 20",ANA,1,4.5,38518,1.40,0.765,2001,16,0,Apr,1,1
"Saturday, Apr 21",ANA,1,5.5,39274,1.35,0.778,2001,17,0,Apr,0,1
"Sunday, Apr 22",ANA,1,5.5,44192,1.36,0.789,2001,18,0,Apr,0,1
"Tuesday, May 1",BOS,1,9.0,36642,.89,0.769,2001,25,1,May,1,1
"Wednesday, May 2",BOS,1,9.0,40170,.95,0.778,2001,26,1,May,1,1
"Thursday, May 3",BOS,1,9.0,32513,.90,0.786,2001,27,1,May,1,1
"Friday, May 4",TOR,1,8.0,42284,.86,0.759,2001,28,0,May,1,0
"Saturday, May 5",TOR,1,9.0,42894,.93,0.767,2001,29,0,May,0,0
"Sunday, May 6",TOR,1,8.0,45080,.87,0.742,2001,30,0,May,0,0
"Tuesday, May 15",CHW,1,12.0,31096,.61,0.763,2001,37,1,May,1,0
"Wednesday, May 16",CHW,1,12.0,33748,.55,0.769,2001,38,1,May,1,0
"Thursday, May 17",CHW,1,12.0,43510,.53,0.775,2001,39,1,May,0,0
"Friday, May 18",NYY,1,12.0,45794,.49,0.756,2001,40,0,May,1,1
"Saturday, May 19",NYY,1,11.0,45880,.57,0.738,2001,41,0,May,0,1
"Sunday, May 20",NYY,1,11.0,45953,.61,0.744,2001,42,0,May,0,1
"Tuesday, May 29",BAL,1,14.0,30413,.36,0.76,2001,49,1,May,1,0
"Wednesday, May 30",BAL,1,14.0,34757,.29,0.765,2001,50,1,May,1,0
"Thursday, May 31",BAL,1,14.0,37612,.26,0.769,2001,51,1,May,1,0
"Friday, Jun 1",TBD,1,15.0,41094,.24,0.774,2001,52,0,Jun,1,0
"Saturday, Jun 2",TBD,1,16.0,45473,.20,0.778,2001,53,0,Jun,1,0
"Sunday, Jun 3",TBD,1,16.0,45390,.17,0.782,2001,54,0,Jun,0,0
"Monday, Jun 4",TEX,1,16.5,45812,.18,0.786,2001,55,1,Jun,1,0
"Tuesday, Jun 5",TEX,1,16.5,44853,.14,0.789,2001,56,1,Jun,1,0
"Wednesday, Jun 6",TEX,1,17.5,45754,.12,0.793,2001,57,1,Jun,1,0
"Friday, Jun 8",SDP,1,17.0,45293,.09,0.797,2001,58,0,Jun,1,0
"Saturday, Jun 9",SDP,1,17.0,45322,.09,0.783,2001,59,0,Jun,1,0
"Sunday, Jun 10",SDP,1,17.0,45418,.09,0.787,2001,60,0,Jun,0,0
"Friday, Jun 22",ANA,1,18.5,45461,.03,0.75,2001,71,0,Jun,1,1
"Saturday, Jun 23",ANA,1,17.5,45430,.04,0.74,2001,72,0,Jun,1,1
"Sunday, Jun 24",ANA,1,18.5,45722,.05,0.743,2001,73,0,Jun,0,1
"Tuesday, Jun 26",OAK,1,19.0,45337,.04,0.747,2001,74,1,Jun,1,0
"Wednesday, Jun 27",OAK,1,18.0,45104,.03,0.737,2001,75,1,Jun,1,0
"Thursday, Jun 28",OAK,1,18.0,45399,.04,0.727,2001,76,1,Jun,0,0
"Thursday, Jul 12",SFG,1,19.0,45696,.01,0.727,2001,87,1,Jul,1,1
"Friday, Jul 13",SFG,1,18.0,45909,.01,0.719,2001,88,0,Jul,1,1
"Saturday, Jul 14",SFG,1,19.0,45809,.01,0.722,2001,89,0,Jul,0,1
"Sunday, Jul 15",ARI,1,19.0,45855,.01,0.725,2001,90,0,Jul,1,0
"Monday, Jul 16",ARI,1,18.0,45770,.01,0.717,2001,91,1,Jul,1,0
"Tuesday, Jul 17",ARI,1,18.0,45894,.01,0.72,2001,92,1,Jul,0,0
"Tuesday, Jul 24",KCR,1,18.0,45119,.00,0.72,2001,99,1,Jul,1,0
"Wednesday, Jul 25",KCR,1,18.0,45265,.00,0.713,2001,100,1,Jul,1,0
"Thursday, Jul 26",KCR,1,19.0,44519,.00,0.716,2001,101,1,Jul,1,0
"Friday, Jul 27",MIN,1,19.0,45808,.00,0.718,2001,102,0,Jul,1,0
"Saturday, Jul 28",MIN,1,20.0,45681,.00,0.721,2001,103,0,Jul,0,0
"Sunday, Jul 29",MIN,1,20.0,45780,.00,0.724,2001,104,0,Jul,0,0
"Tuesday, Aug 7",TOR,1,19.0,45636,.00,0.726,2001,112,1,Aug,1,0
"Wednesday, Aug 8",TOR,1,19.0,45450,.00,0.728,2001,113,1,Aug,1,0
"Thursday, Aug 9",TOR,1,18.0,45670,.00,0.722,2001,114,1,Aug,1,0
"Friday, Aug 10",CHW,1,17.0,45665,.00,0.716,2001,115,0,Aug,1,0
"Saturday, Aug 11",CHW,1,17.0,45898,.00,0.718,2001,116,0,Aug,1,0
"Sunday, Aug 12",CHW,1,17.0,45765,.00,0.72,2001,117,0,Aug,1,0
"Monday, Aug 20",DET,1,16.0,45972,.00,0.712,2001,124,1,Aug,1,0
"Tuesday, Aug 21",DET,1,17.0,45036,.00,0.714,2001,125,1,Aug,1,0
"Wednesday, Aug 22",DET,1,18.0,45814,.00,0.717,2001,126,1,Aug,1,0
"Thursday, Aug 23",DET,1,19.0,45063,.00,0.719,2001,127,1,Aug,0,0
"Friday, Aug 24",CLE,1,20.0,45767,.00,0.721,2001,128,0,Aug,1,0
"Saturday, Aug 25",CLE,1,20.0,45818,.00,0.723,2001,129,0,Aug,0,0
"Sunday, Aug 26",CLE,1,19.0,45782,.00,0.718,2001,130,0,Aug,0,0
"Monday, Sep 3",TBD,1,18.0,45728,.00,0.717,2001,137,1,Sep,1,0
"Tuesday, Sep 4",TBD,1,17.0,44859,.00,0.712,2001,138,1,Sep,1,0
"Wednesday, Sep 5",TBD,1,17.0,44720,.00,0.714,2001,139,1,Sep,1,0
"Friday, Sep 7",BAL,1,17.0,45797,.00,0.716,2001,140,0,Sep,1,0
"Saturday, Sep 8",BAL,1,17.0,45894,.00,0.718,2001,141,0,Sep,1,0
"Sunday, Sep 9",BAL,1,17.0,45344,.00,0.72,2001,142,0,Sep,0,0
"Tuesday, Sep 18",ANA,1,17.0,45294,.00,0.724,2001,144,1,Sep,1,1
"Wednesday, Sep 19",ANA,1,18.0,45459,.00,0.726,2001,145,1,Sep,1,1
"Thursday, Sep 20",ANA,1,17.0,44768,.00,0.721,2001,146,1,Sep,0,1
"Friday, Sep 28",OAK,1,15.0,45695,.00,0.714,2001,153,0,Sep,1,0
"Saturday, Sep 29",OAK,1,14.0,45104,.00,0.71,2001,154,0,Sep,1,0
"Sunday, Sep 30",OAK,1,15.0,45674,.00,0.712,2001,155,0,Sep,0,0
"Thursday, Oct 4",TEX,1,15.0,45302,.00,0.717,2001,158,1,Oct,1,0
"Friday, Oct 5",TEX,1,15.0,45333,.00,0.719,2001,159,0,Oct,1,0
"Saturday, Oct 6",TEX,1,15.0,45607,.00,0.72,2001,160,0,Oct,1,0
"Sunday, Oct 7",TEX,1,14.0,45578,.00,0.716,2001,161,0,Oct,0,0
"Monday, Apr 1",CHW,2,-1.0,46036,1.00,0.0,2002,0,1,Apr,0,0
"Tuesday, Apr 2",CHW,2,-1.0,40805,1.00,0.5,2002,1,1,Apr,1,0
"Wednesday, Apr 3",CHW,2,-1.0,31082,1.01,0.667,2002,2,1,Apr,1,0
"Friday, Apr 5",OAK,1,0.5,40303,1.25,0.75,2002,3,0,Apr,1,0
"Saturday, Apr 6",OAK,2,-0.5,45093,1.29,0.6,2002,4,0,Apr,1,0
"Sunday, Apr 7",OAK,3,-1.5,39870,1.28,0.5,2002,5,0,Apr,1,0
"Friday, Apr 19",TEX,1,4.0,45346,1.26,0.765,2002,16,0,Apr,1,0
"Saturday, Apr 20",TEX,1,4.0,45354,1.32,0.778,2002,17,0,Apr,1,0
"Sunday, Apr 21",TEX,1,4.0,45448,1.27,0.789,2002,18,0,Apr,0,0
"Monday, Apr 22",ANA,1,4.5,33119,1.28,0.8,2002,19,1,Apr,1,1
"Tuesday, Apr 23",ANA,1,5.5,32127,1.23,0.81,2002,20,1,Apr,1,1
"Wednesday, Apr 24",ANA,1,5.5,37212,1.14,0.773,2002,21,1,Apr,1,1
"Friday, Apr 26",NYY,1,4.0,45814,1.08,0.739,2002,22,0,Apr,1,1
"Saturday, Apr 27",NYY,1,4.0,46047,1.17,0.75,2002,23,0,Apr,1,1
"Sunday, Apr 28",NYY,1,3.0,46115,1.11,0.72,2002,24,0,Apr,0,1
"Tuesday, May 7",TOR,1,5.0,34500,1.15,0.688,2002,31,1,May,1,0
"Wednesday, May 8",TOR,1,6.0,35190,1.15,0.697,2002,32,1,May,1,0
"Thursday, May 9",TOR,1,6.5,37734,1.14,0.706,2002,33,1,May,1,0
"Friday, May 10",BOS,1,6.5,45833,1.09,0.714,2002,34,0,May,1,1
"Saturday, May 11",BOS,1,6.5,45887,1.11,0.722,2002,35,0,May,1,1
"Sunday, May 12",BOS,1,5.5,45862,1.10,0.703,2002,36,0,May,1,1
"Tuesday, May 21",TBD,1,2.5,41845,1.11,0.659,2002,43,1,May,1,0
"Wednesday, May 22",TBD,1,1.5,39734,1.17,0.644,2002,44,1,May,1,0
"Thursday, May 23",TBD,1,2.0,45227,1.22,0.652,2002,45,1,May,0,0
"Friday, May 24",BAL,1,3.0,44900,1.28,0.66,2002,46,0,May,1,0
"Saturday, May 25",BAL,1,2.0,45854,1.19,0.646,2002,47,0,May,1,0
"Sunday, May 26",BAL,1,3.0,45674,1.25,0.653,2002,48,0,May,0,0
"Friday, Jun 7",CHC,1,1.0,46083,1.19,0.617,2002,59,0,Jun,1,0
"Saturday, Jun 8",CHC,1,2.0,45952,1.26,0.623,2002,60,0,Jun,0,0
"Sunday, Jun 9",CHC,1,1.0,46030,1.21,0.613,2002,61,0,Jun,0,0
"Monday, Jun 10",STL,1,1.0,45699,1.28,0.619,2002,62,1,Jun,1,0
"Tuesday, Jun 11",STL,1,1.0,44983,1.30,0.609,2002,63,1,Jun,1,0
"Wednesday, Jun 12",STL,1,1.0,45612,1.33,0.615,2002,64,1,Jun,1,0
"Monday, Jun 24",OAK,1,2.0,45602,1.69,0.613,2002,74,1,Jun,1,0
"Tuesday, Jun 25",OAK,1,3.0,43985,1.80,0.618,2002,75,1,Jun,1,0
"Wednesday, Jun 26",OAK,1,3.5,42120,1.69,0.623,2002,76,1,Jun,1,0
"Thursday, Jun 27",OAK,1,3.5,42159,1.57,0.628,2002,77,1,Jun,1,0
"Friday, Jun 28",COL,1,4.5,45118,1.19,0.633,2002,78,0,Jun,1,0
"Saturday, Jun 29",COL,1,4.5,45790,1.13,0.637,2002,79,0,Jun,1,0
"Sunday, Jun 30",COL,1,3.5,45928,1.00,0.63,2002,80,0,Jun,0,0
"Monday, Jul 1",KCR,1,4.0,43577,1.15,0.634,2002,81,1,Jul,1,0
"Tuesday, Jul 2",KCR,1,4.0,45652,1.03,0.627,2002,82,1,Jul,1,0
"Wednesday, Jul 3",KCR,1,4.0,44340,1.17,0.631,2002,83,1,Jul,1,0
"Thursday, Jul 4",MIN,1,5.0,44543,1.11,0.635,2002,84,1,Jul,0,0
"Friday, Jul 5",MIN,1,4.0,45526,1.09,0.628,2002,85,0,Jul,1,0
"Saturday, Jul 6",MIN,1,3.0,45416,1.23,0.621,2002,86,0,Jul,1,0
"Sunday, Jul 7",MIN,1,3.0,45738,1.31,0.625,2002,87,0,Jul,0,0
"Tuesday, Jul 23",TEX,1,2.0,45014,1.56,0.61,2002,99,1,Jul,1,0
"Wednesday, Jul 24",TEX,1,1.0,45941,1.50,0.604,2002,100,1,Jul,1,0
"Thursday, Jul 25",TEX,1,1.0,45515,1.54,0.608,2002,101,1,Jul,1,0
"Friday, Jul 26",ANA,1,0.0,45559,1.97,0.602,2002,102,0,Jul,1,1
"Saturday, Jul 27",ANA,1,1.0,45974,2.06,0.606,2002,103,0,Jul,0,1
"Sunday, Jul 28",ANA,1,0.0,45634,1.97,0.6,2002,104,0,Jul,0,1
"Monday, Jul 29",DET,1,0.0,45362,1.68,0.604,2002,105,1,Jul,1,0
"Tuesday, Jul 30",DET,1,1.0,45774,1.60,0.607,2002,106,1,Jul,0,0
"Wednesday, Jul 31",DET,1,2.0,45212,1.52,0.611,2002,107,1,Jul,1,0
"Thursday, Aug 1",CLE,1,2.0,45590,1.45,0.615,2002,108,1,Aug,1,0
"Friday, Aug 2",CLE,1,3.0,45995,1.39,0.618,2002,109,0,Aug,1,0
"Saturday, Aug 3",CLE,1,3.0,46219,1.25,0.622,2002,110,0,Aug,0,0
"Sunday, Aug 4",CLE,1,3.0,46120,1.18,0.616,2002,111,0,Aug,0,0
"Tuesday, Aug 13",BOS,1,2.0,45703,1.90,0.613,2002,118,1,Aug,1,1
"Wednesday, Aug 14",BOS,1,1.0,45233,1.75,0.608,2002,119,1,Aug,1,1
"Thursday, Aug 15",BOS,1,1.5,45645,2.21,0.612,2002,120,1,Aug,1,1
"Friday, Aug 16",NYY,1,0.5,46033,1.60,0.607,2002,121,0,Aug,1,1
"Saturday, Aug 17",NYY,1,0.5,46174,1.76,0.602,2002,122,0,Aug,0,1
"Sunday, Aug 18",NYY,1,0.5,46086,1.93,0.605,2002,123,0,Aug,0,1
"Friday, Aug 30",KCR,3,-5.0,45260,2.21,0.585,2002,134,0,Aug,1,0
"Saturday, Aug 31",KCR,3,-6.0,45500,2.15,0.581,2002,135,0,Aug,1,0
"Sunday, Sep 1",KCR,3,-6.0,45461,1.93,0.584,2002,136,0,Sep,0,0
"Monday, Sep 2",MIN,3,-6.0,41050,1.95,0.587,2002,137,1,Sep,0,0
"Wednesday, Sep 4",MIN,3,-7.0,44580,1.91,0.583,2002,138,1,Sep,0,0
"Monday, Sep 16",TEX,3,-8.0,42635,.10,0.573,2002,149,1,Sep,1,0
"Tuesday, Sep 17",TEX,3,-8.0,37566,.14,0.576,2002,150,1,Sep,1,0
"Wednesday, Sep 18",TEX,3,-7.0,39208,.18,0.579,2002,151,1,Sep,1,0
"Thursday, Sep 19",TEX,3,-8.0,40256,.21,0.575,2002,152,1,Sep,1,0
"Friday, Sep 20",ANA,3,-9.0,45663,.19,0.571,2002,153,0,Sep,1,1
"Saturday, Sep 21",ANA,3,-9.0,45784,.01,0.574,2002,154,0,Sep,0,1
"Sunday, Sep 22",ANA,3,-9.0,45693,.02,0.577,2002,155,0,Sep,0,1
"Tuesday, Sep 24",OAK,3,-8.0,39037,.05,0.58,2002,156,1,Sep,1,0
"Wednesday, Sep 25",OAK,3,-7.0,39776,.16,0.582,2002,157,1,Sep,1,0
"Thursday, Sep 26",OAK,3,-8.0,45822,.55,0.579,2002,158,1,Sep,0,0
"Tuesday, Apr 8",ANA,2,-2.0,45931,1.24,0.571,2003,6,1,Apr,0,1
"Wednesday, Apr 9",ANA,2,-3.0,35492,1.23,0.5,2003,7,1,Apr,1,1
"Thursday, Apr 10",ANA,2,-3.0,32746,1.18,0.444,2003,8,1,Apr,1,1
"Friday, Apr 11",TEX,3,-3.0,37784,1.11,0.4,2003,9,0,Apr,1,0
"Saturday, Apr 12",TEX,3,-2.0,36591,1.06,0.455,2003,10,0,Apr,1,0
"Sunday, Apr 13",TEX,3,-1.0,35496,1.11,0.5,2003,11,0,Apr,0,0
"Monday, Apr 14",OAK,1,0.0,26567,1.26,0.538,2003,12,1,Apr,1,0
"Tuesday, Apr 15",OAK,1,1.0,26666,1.28,0.571,2003,13,1,Apr,1,0
"Wednesday, Apr 16",OAK,1,0.0,29674,1.34,0.533,2003,14,1,Apr,1,0
"Thursday, Apr 17",OAK,1,1.0,33412,1.32,0.562,2003,15,1,Apr,0,0
"Tuesday, Apr 22",CLE,1,1.0,25231,1.17,0.6,2003,19,1,Apr,1,0
"Wednesday, Apr 23",CLE,1,2.0,26036,1.20,0.619,2003,20,1,Apr,1,0
"Thursday, Apr 24",CLE,1,2.0,26263,1.18,0.636,2003,21,1,Apr,1,0
"Friday, Apr 25",DET,1,2.0,33458,1.22,0.652,2003,22,0,Apr,1,0
"Saturday, Apr 26",DET,1,1.0,36258,1.18,0.625,2003,23,0,Apr,1,0
"Sunday, Apr 27",DET,1,1.0,39678,1.22,0.64,2003,24,0,Apr,0,0
"Tuesday, May 6",NYY,1,1.0,44979,1.34,0.656,2003,31,1,May,1,1
"Wednesday, May 7",NYY,1,1.0,43753,1.35,0.636,2003,32,1,May,1,1
"Thursday, May 8",NYY,1,0.0,46000,1.31,0.618,2003,33,1,May,1,1
"Friday, May 9",CHW,1,0.0,38749,1.27,0.629,2003,34,0,May,1,0
"Saturday, May 10",CHW,1,0.0,43123,1.28,0.611,2003,35,0,May,1,0
"Sunday, May 11",CHW,1,0.0,45383,1.26,0.622,2003,36,0,May,0,0
"Tuesday, May 20",KCR,1,2.0,36423,1.29,0.659,2003,43,1,May,1,0
"Wednesday, May 21",KCR,1,2.0,31251,1.27,0.644,2003,44,1,May,1,0
"Thursday, May 22",KCR,1,3.0,38322,1.32,0.652,2003,45,1,May,0,0
"Friday, May 23",MIN,1,3.0,40258,1.24,0.66,2003,46,0,May,1,0
"Saturday, May 24",MIN,1,3.0,45306,1.23,0.646,2003,47,0,May,1,0
"Sunday, May 25",MIN,1,2.0,45213,1.29,0.633,2003,48,0,May,1,0
"Tuesday, Jun 10",MON,1,7.0,34811,.58,0.677,2003,61,1,Jun,1,0
"Wednesday, Jun 11",MON,1,7.0,32853,.70,0.667,2003,62,1,Jun,1,0
"Thursday, Jun 12",MON,1,8.0,33761,.77,0.672,2003,63,1,Jun,1,0
"Friday, Jun 13",ATL,1,8.0,45791,.66,0.677,2003,64,0,Jun,1,0
"Saturday, Jun 14",ATL,1,7.0,45971,.62,0.667,2003,65,0,Jun,0,0
"Sunday, Jun 15",ATL,1,7.0,45732,.72,0.672,2003,66,0,Jun,1,0
"Monday, Jun 16",ANA,1,7.5,41599,.84,0.676,2003,67,1,Jun,1,1
"Tuesday, Jun 17",ANA,1,7.5,39054,.73,0.681,2003,68,1,Jun,1,1
"Wednesday, Jun 18",ANA,1,7.5,43473,.63,0.686,2003,69,1,Jun,1,1
"Thursday, Jun 19",ANA,1,6.5,45758,.55,0.676,2003,70,1,Jun,0,1
"Friday, Jun 27",SDP,1,7.0,45529,.63,0.667,2003,77,0,Jun,1,0
"Saturday, Jun 28",SDP,1,7.0,45326,.58,0.658,2003,78,0,Jun,1,0
"Sunday, Jun 29",SDP,1,6.0,45641,.62,0.65,2003,79,0,Jun,0,0
"Tuesday, Jul 8",BAL,1,7.0,37327,.69,0.636,2003,87,1,Jul,1,0
"Wednesday, Jul 9",BAL,1,6.0,39563,.57,0.629,2003,88,1,Jul,1,0
"Thursday, Jul 10",BAL,1,5.0,35801,.72,0.622,2003,89,1,Jul,1,0
"Friday, Jul 11",TBD,1,5.0,45156,.87,0.626,2003,90,0,Jul,1,0
"Saturday, Jul 12",TBD,1,4.0,45655,.85,0.62,2003,91,0,Jul,1,0
"Sunday, Jul 13",TBD,1,4.0,45602,1.01,0.624,2003,92,0,Jul,0,0
"Wednesday, Jul 23",OAK,1,5.0,41959,1.57,0.61,2003,99,1,Jul,1,0
"Thursday, Jul 24",OAK,1,4.0,42730,1.40,0.604,2003,100,1,Jul,1,0
"Friday, Jul 25",TEX,1,4.0,43871,1.11,0.608,2003,101,0,Jul,1,0
"Saturday, Jul 26",TEX,1,4.0,45934,1.00,0.612,2003,102,0,Jul,0,0
"Sunday, Jul 27",TEX,1,3.0,45355,.98,0.606,2003,103,0,Jul,0,0
"Monday, Jul 28",TEX,1,3.0,44415,1.13,0.6,2003,104,1,Jul,1,0
"Tuesday, Jul 29",DET,1,3.0,30732,1.21,0.604,2003,105,1,Jul,1,0
"Wednesday, Jul 30",DET,1,4.0,35800,1.19,0.607,2003,106,1,Jul,1,0
"Thursday, Jul 31",DET,1,4.0,43596,1.02,0.611,2003,107,1,Jul,0,0
"Friday, Aug 1",CHW,1,3.0,39337,.97,0.606,2003,108,0,Aug,1,0
"Saturday, Aug 2",CHW,1,4.0,45719,1.09,0.609,2003,109,0,Aug,1,0
"Sunday, Aug 3",CHW,1,4.0,45632,.91,0.613,2003,110,0,Aug,0,0
"Monday, Aug 11",TOR,1,3.0,44922,.89,0.602,2003,117,1,Aug,1,0
"Tuesday, Aug 12",TOR,1,3.0,37018,1.00,0.605,2003,118,1,Aug,1,0
"Wednesday, Aug 13",TOR,1,4.0,37066,.94,0.608,2003,119,1,Aug,1,0
"Thursday, Aug 14",TOR,1,4.0,41945,.80,0.603,2003,120,1,Aug,1,0
"Friday, Aug 15",BOS,1,5.0,46171,1.26,0.607,2003,121,0,Aug,1,1
"Saturday, Aug 16",BOS,1,4.0,46100,.95,0.602,2003,122,0,Aug,0,1
"Sunday, Aug 17",BOS,1,4.0,46105,1.37,0.605,2003,123,0,Aug,0,1
"Tuesday, Aug 26",TBD,1,0.0,43287,2.10,0.583,2003,131,1,Aug,1,0
"Wednesday, Aug 27",TBD,2,-1.0,42442,1.96,0.579,2003,132,1,Aug,1,0
"Thursday, Aug 28",TBD,2,-2.0,42563,2.21,0.575,2003,133,1,Aug,0,0
"Friday, Aug 29",BAL,2,-2.0,43365,2.38,0.578,2003,134,0,Aug,1,0
"Saturday, Aug 30",BAL,2,-2.0,45618,2.42,0.581,2003,135,0,Aug,0,0
"Sunday, Aug 31",BAL,2,-2.0,45760,2.33,0.584,2003,136,0,Aug,0,0
"Tuesday, Sep 9",TEX,2,-2.5,37707,2.77,0.569,2003,143,1,Sep,1,0
"Wednesday, Sep 10",TEX,2,-2.5,36450,2.58,0.572,2003,144,1,Sep,1,0
"Thursday, Sep 11",TEX,2,-2.5,35729,2.61,0.575,2003,145,1,Sep,1,0
"Friday, Sep 12",ANA,2,-2.5,41601,2.73,0.578,2003,146,0,Sep,1,1
"Saturday, Sep 13",ANA,2,-2.5,45552,2.83,0.581,2003,147,0,Sep,1,1
"Sunday, Sep 14",ANA,2,-3.5,45861,3.14,0.577,2003,148,0,Sep,0,1
"Friday, Sep 26",OAK,2,-5.0,45519,.00,0.569,2003,159,0,Sep,1,0
"Saturday, Sep 27",OAK,2,-4.0,45483,.00,0.571,2003,160,0,Sep,1,0
"Sunday, Sep 28",OAK,2,-3.0,45719,.00,0.574,2003,161,0,Sep,0,0
"Tuesday, Apr 6",ANA,3,-1.5,46142,1.18,0.0,2004,0,1,Apr,0,1
"Wednesday, Apr 7",ANA,4,-2.0,37947,1.17,0.0,2004,1,1,Apr,1,1
"Thursday, Apr 8",ANA,4,-3.0,34376,1.11,0.0,2004,2,1,Apr,0,1
"Friday, Apr 16",TEX,4,-5.0,35647,.93,0.2,2004,9,0,Apr,1,0
"Saturday, Apr 17",TEX,4,-4.0,38925,.86,0.273,2004,10,0,Apr,1,0
"Sunday, Apr 18",TEX,4,-4.0,35182,.91,0.333,2004,11,0,Apr,0,0
"Monday, Apr 19",OAK,4,-3.0,26020,1.03,0.385,2004,12,1,Apr,1,0
"Tuesday, Apr 20",OAK,4,-2.0,28128,1.10,0.429,2004,13,1,Apr,1,0
"Wednesday, Apr 21",OAK,4,-3.0,29137,1.14,0.4,2004,14,1,Apr,1,0
"Thursday, Apr 22",OAK,4,-4.0,33627,1.11,0.375,2004,15,1,Apr,0,0
"Tuesday, May 4",MIN,4,-6.5,32727,.62,0.385,2004,25,1,May,1,0
"Wednesday, May 5",MIN,4,-7.5,27270,.69,0.37,2004,26,1,May,1,0
"Thursday, May 6",MIN,4,-7.5,25418,.64,0.393,2004,27,1,May,1,0
"Friday, May 7",NYY,4,-7.5,46491,.66,0.414,2004,28,0,May,1,1
"Saturday, May 8",NYY,4,-8.5,46454,.69,0.4,2004,29,0,May,1,1
"Sunday, May 9",NYY,4,-9.5,46589,.62,0.387,2004,30,0,May,0,1
"Tuesday, May 18",BAL,4,-12.5,29819,.32,0.342,2004,37,1,May,1,0
"Wednesday, May 19",BAL,4,-12.5,29575,.28,0.333,2004,38,1,May,1,0
"Thursday, May 20",BAL,4,-11.5,27967,.25,0.35,2004,39,1,May,1,0
"Friday, May 21",DET,4,-12.5,39102,.28,0.341,2004,40,0,May,1,0
"Saturday, May 22",DET,4,-13.5,42565,.21,0.333,2004,41,0,May,1,0
"Sunday, May 23",DET,4,-13.5,44850,.17,0.349,2004,42,0,May,0,0
"Monday, May 31",TOR,4,-11.0,27856,.21,0.38,2004,49,1,May,1,0
"Tuesday, Jun 1",TOR,4,-12.0,24848,.25,0.373,2004,50,1,Jun,1,0
"Wednesday, Jun 2",TOR,4,-13.0,25317,.20,0.365,2004,51,1,Jun,1,0
